modelname,dataset,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
meta-llama/Meta-Llama-3-8B,NPClassifier_class,KMeans,orig,0.12997717065977343,0.6190004033898197,,,,
meta-llama/Meta-Llama-3-8B,NPClassifier_class,LR,orig,,,0.7445307465318998,0.5571346955367078,0.6868883255786439,0.5493572154057703
meta-llama/Meta-Llama-3-8B,NPClassifier_class,MLP,orig,,,0.5705321710816402,0.2135635107866206,0.26332734477069697,0.22405939455013923
seyonec/ChemBERTa-zinc-base-v1,NPClassifier_class,KMeans,orig,0.12102172907385848,0.6149123188547401,,,,
seyonec/ChemBERTa-zinc-base-v1,NPClassifier_class,LR,orig,,,0.7984601295661907,0.6721398057956456,0.7497795933176085,0.6516655557619272
seyonec/ChemBERTa-zinc-base-v1,NPClassifier_class,MLP,orig,,,0.7727164806837838,0.6188722725995656,0.6878527492875329,0.6023731765903599
DeepChem/ChemBERTa-77M-MLM,NPClassifier_class,KMeans,orig,0.16936469054474304,0.667681484895638,,,,
DeepChem/ChemBERTa-77M-MLM,NPClassifier_class,LR,orig,,,0.8622596072312858,0.7561457848962698,0.8095745918462928,0.7358486285177381
DeepChem/ChemBERTa-77M-MLM,NPClassifier_class,MLP,orig,,,0.8588678221347895,0.7416502075434629,0.7906492525513182,0.7253967776448377
sentence-transformers/all-mpnet-base-v2,NPClassifier_class,KMeans,orig,0.12575374520544572,0.5914159196291112,,,,
sentence-transformers/all-mpnet-base-v2,NPClassifier_class,LR,orig,,,0.7077298782349151,0.5232749347376714,0.598748502160917,0.5032599087941706
sentence-transformers/all-mpnet-base-v2,NPClassifier_class,MLP,orig,,,0.7564019943696367,0.6039620221313431,0.6686945102181444,0.5798605536708289
gpt2,NPClassifier_class,KMeans,orig,0.034764785066933396,0.44565610812680656,,,,
gpt2,NPClassifier_class,LR,orig,,,0.7774649798188786,0.6232946065271725,0.7286529470943994,0.6027053026723217
gpt2,NPClassifier_class,MLP,orig,,,0.7361869551945188,0.5625613166418301,0.6384933108191498,0.5483413381722165
sentence-transformers/all-MiniLM-L6-v2,NPClassifier_class,KMeans,orig,0.13671324894866616,0.6053548796312118,,,,
sentence-transformers/all-MiniLM-L6-v2,NPClassifier_class,LR,orig,,,0.68951599226673,0.47981812687401854,0.5710275201666535,0.45966703205243564
sentence-transformers/all-MiniLM-L6-v2,NPClassifier_class,MLP,orig,,,0.7688159278228132,0.6168861579588929,0.6775138817413158,0.5981115305407482
meta-llama/Meta-Llama-3-8B,NPClassifier_class,KMeans,orig,0.12997717065977343,0.6190004033898197,,,,
meta-llama/Meta-Llama-3-8B,NPClassifier_class,LR,orig,,,0.7262151070108198,0.5552399087257722,0.6814488040156845,0.5438343773210187
meta-llama/Meta-Llama-3-8B,NPClassifier_class,MLP,orig,,,0.6046874470033579,0.25508643074001874,0.3192331485762733,0.25620663741281746
