dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.1,0.14942078426482638,0.6258646110320921,,,,
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.1,,,0.6522661308327752,0.5597441163273741,0.6490113224076213,0.5385850851113879
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.1,,,0.6512614422862246,0.5784448376942911,0.6362160239504243,0.5675551353269979
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.3,0.1272055631410846,0.5992240275324214,,,,
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.3,,,0.4279415048001786,0.28836639541592735,0.3904335627303402,0.2708107295979799
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.3,,,0.48654833668229513,0.3873410032142672,0.4469165002163294,0.37833223598794213
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.5,0.09196677400354027,0.5476755135811241,,,,
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.5,,,0.28778745255637417,0.16816630573965113,0.24649895568001773,0.15804225893480983
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.5,,,0.3396963607948203,0.23185026163451442,0.2727345393521599,0.22766320918779898
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.7,0.06609731517827169,0.4946240367703965,,,,
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.7,,,0.19675150703281982,0.1033660644228453,0.14654954421309846,0.09885160067820865
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.7,,,0.23208305425318151,0.13174710155885633,0.15912061350037132,0.13183719995773058
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,KMeans,0.1,0.17566714851153992,0.644493412429218,,,,
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,LR,0.1,,,0.5508484036615315,0.40106640497668505,0.4787024353806705,0.3808412924116496
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,MLP,0.1,,,0.5669234204063407,0.4473612646303721,0.513185154949253,0.43200061859866956
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,KMeans,0.3,0.048445052893774286,0.4572067505662599,,,,
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,LR,0.3,,,0.20261219022103147,0.10235720560087525,0.12044958081048683,0.10303530914262087
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,MLP,0.3,,,0.20640768028577808,0.1129862189535008,0.13785088516812258,0.11300644955721617
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,KMeans,0.5,0.012231222127074603,0.3724368071272566,,,,
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,LR,0.5,,,0.09008707300736772,0.04200603712726587,0.04408194465333676,0.04345574691294196
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,MLP,0.5,,,0.08523107836570663,0.039197832291170444,0.045721394809757336,0.04128138762706344
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,KMeans,0.7,0.004661788355916449,0.3448291050093809,,,,
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,LR,0.7,,,0.045824960928778746,0.01985403634477448,0.019337182547935743,0.021145732347723763
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,noise,MLP,0.7,,,0.043034159410582716,0.019038126250617227,0.020102910396311496,0.020210636264853987
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.1,0.008428873175353985,0.33836338975618013,,,,
