dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.1,0.09215730396819302,0.5580416264912995,,,,
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.1,,,0.5710538066532708,0.476470367989417,0.5707659525359471,0.46394046119172055
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.1,,,0.5553136860906452,0.4587762813587517,0.5091014562054994,0.4556754517797519
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.3,0.06088559562812806,0.5156701922139209,,,,
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.3,,,0.40991292699263226,0.2921149757429303,0.3809023025157745,0.2949260678697037
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.3,,,0.40645233311006923,0.2974916763329308,0.34710540555293096,0.29700631503695263
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.5,0.046356459216699036,0.4909613879990778,,,,
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.5,,,0.28722929225273497,0.17864027979329994,0.24855052968767974,0.19065761481516255
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.5,,,0.2755079258763117,0.1652301808632623,0.20462110089935448,0.17153902438842897
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.7,0.035311183150269494,0.4703590675620011,,,,
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.7,,,0.19256530475552577,0.09958809779631402,0.1429120681720783,0.11491693477550839
NPClassifier_class,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.7,,,0.20417503907122125,0.10547780654782293,0.13411584692793246,0.11503530608547656
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.1,0.13866037046799307,0.6007815426134931,,,,
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.1,,,0.6661085063630274,0.5671786707242196,0.6272140814610818,0.5470222004279731
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.1,,,0.6633177048448314,0.5628839546217419,0.6284230233858811,0.5457382025907732
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.3,0.06444563735275802,0.5102583642136813,,,,
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.3,,,0.44496539406117436,0.3145152646865881,0.3539508714265467,0.30694025130371144
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.3,,,0.43514177271712434,0.3179187927847595,0.3623503752822855,0.31339254424215174
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.5,0.03553843651545738,0.46387392036786024,,,,
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.5,,,0.285108283098906,0.17093303222132541,0.18962031624697467,0.17433423430101228
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.5,,,0.2872851082830989,0.176997092765258,0.2089075556089176,0.18010702408656362
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.7,0.02099391712981781,0.4280716307519645,,,,
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.7,,,0.16822951551685644,0.07747317841291218,0.08107867019225881,0.08554901619713419
NPClassifier_class,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.7,,,0.17319714221924537,0.08799581621289945,0.09938598178028699,0.09286397040260963
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,KMeans,0.1,0.08335874978628126,0.536858346198563,,,,
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,LR,0.1,,,0.4770037954900647,0.3619328875934026,0.4050478784725364,0.3578928936825021
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,MLP,0.1,,,0.5078142442509489,0.40657037440219396,0.45487752109166957,0.4000926083130991
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,KMeans,0.3,0.038397007842139376,0.4772541883090876,,,,
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,LR,0.3,,,0.3309890600580487,0.21878154317806625,0.25249502237682936,0.2203022517065241
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,MLP,0.3,,,0.3477338691672248,0.24619111057376597,0.2767416129581892,0.24886586930025434
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,KMeans,0.5,0.025360190821913105,0.4517699462168503,,,,
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,LR,0.5,,,0.2265572672471534,0.133401407166632,0.14926327797850283,0.13877355132953267
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,MLP,0.5,,,0.22912480464389373,0.1407019885620177,0.15912564429072942,0.14736699109792673
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,KMeans,0.7,0.0170202131526287,0.4295134157140024,,,,
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,LR,0.7,,,0.14707524000893057,0.07296391849168794,0.07976208216735645,0.07926110725766584
NPClassifier_class,sentence-transformers/all-mpnet-base-v2,occlusion,MLP,0.7,,,0.15165215449877203,0.07413455866219226,0.08574923672898195,0.08271339540235137
NPClassifier_class,gpt2,occlusion,KMeans,0.1,0.011654807476994877,0.41859518277476565,,,,
NPClassifier_class,gpt2,occlusion,LR,0.1,,,0.5592766242464836,0.44296971433961885,0.5446383310736098,0.4331184588176555
NPClassifier_class,gpt2,occlusion,MLP,0.1,,,0.5066421076133065,0.38619309728011136,0.4637699099859134,0.37624077386195115
NPClassifier_class,gpt2,occlusion,KMeans,0.3,0.007976152096307369,0.40591676476180955,,,,
NPClassifier_class,gpt2,occlusion,LR,0.3,,,0.3931681178834561,0.2658640094009241,0.3549679737191057,0.2643860953335501
NPClassifier_class,gpt2,occlusion,MLP,0.3,,,0.3120674257646796,0.16125227868515335,0.19326270578665136,0.1747932679979774
NPClassifier_class,gpt2,occlusion,KMeans,0.5,0.006019452518065906,0.3968963054345689,,,,
NPClassifier_class,gpt2,occlusion,LR,0.5,,,0.2819267693681625,0.17166971161564124,0.252532713793907,0.1770405988083031
NPClassifier_class,gpt2,occlusion,MLP,0.5,,,0.2532373297611074,0.12256015984805654,0.160489499812624,0.13307755620081843
NPClassifier_class,gpt2,occlusion,KMeans,0.7,0.005123316763546154,0.3927493848604457,,,,
NPClassifier_class,gpt2,occlusion,LR,0.7,,,0.19708640321500334,0.10542513445495108,0.15137690981547752,0.11600698150676707
