dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.1,0.3144354918881607,0.41204418035494184,,,,
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,LR,0.1,,,0.8375,0.8332628371057036,0.8412818774883949,0.8375
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,MLP,0.1,,,0.825,0.8291608576430284,0.8509943903736141,0.825
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.3,0.26080399927455294,0.3805116279586176,,,,
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,LR,0.3,,,0.8375,0.8402653365707619,0.8454762670096893,0.8375
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,MLP,0.3,,,0.8125,0.8176231608482184,0.8315998272248262,0.8125
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.5,0.2125898062469352,0.3628742491788157,,,,
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,LR,0.5,,,0.8160714285714286,0.8170918043151013,0.8196707560494116,0.8160714285714284
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,MLP,0.5,,,0.825,0.826346522120712,0.8387084556025736,0.825
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.7,0.31253041456214964,0.41445745005757345,,,,
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,LR,0.7,,,0.7839285714285714,0.7827408144176211,0.7856120553658236,0.7839285714285714
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,noise,MLP,0.7,,,0.7910714285714285,0.7895544870935486,0.7967606546946503,0.7910714285714286
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.1,0.26596038547369477,0.36126820146694444,,,,
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.1,,,0.7607142857142857,0.7602033365372877,0.7628534360563016,0.7607142857142859
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.1,,,0.7767857142857143,0.7745731795579849,0.7862592171221693,0.7767857142857143
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.3,0.20924680622389097,0.30162984765914885,,,,
