dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.1,0.07755812431838519,0.15155766308655377,,,,
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.1,,,0.7464285714285714,0.7300954986122384,0.7974740514063717,0.7464285714285713
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.1,,,0.7964285714285714,0.7925992300922032,0.7947423706044396,0.7964285714285715
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.3,0.09144693566832938,0.1717968137379546,,,,
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.3,,,0.7428571428571429,0.7187974070935399,0.7494592149295165,0.7428571428571429
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.3,,,0.7107142857142857,0.69499621438424,0.7182692611735869,0.7107142857142856
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.5,0.09363787829485189,0.15512619246689802,,,,
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.5,,,0.6732142857142858,0.6680891977341298,0.7013351730092218,0.6732142857142857
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.5,,,0.6928571428571428,0.6741450586184458,0.6876331475591401,0.6928571428571428
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.7,0.07206728527070067,0.1160858553459784,,,,
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.7,,,0.575,0.576638249203321,0.6085000887817097,0.5750000000000001
NPClassifier_pathway,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.7,,,0.6142857142857143,0.6171654826722907,0.6229757443343269,0.6142857142857142
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.1,0.1397882804355829,0.22682697184169026,,,,
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.1,,,0.7553571428571428,0.7588763324258198,0.7749230886352138,0.7553571428571428
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.1,,,0.7785714285714286,0.7789647150881551,0.7907416207947021,0.7785714285714286
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.3,0.1258030063538229,0.203335554416321,,,,
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.3,,,0.6767857142857143,0.6713283308336846,0.675334801650591,0.6767857142857144
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.3,,,0.7053571428571429,0.6986508504447418,0.7023514123425693,0.7053571428571427
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.5,0.1279741710406065,0.2312743377780355,,,,
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.5,,,0.6625,0.6588345382312883,0.6645258976508978,0.6624999999999999
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.5,,,0.6767857142857143,0.6726869497387348,0.6793571911409348,0.6767857142857142
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.7,0.13635728752150056,0.20398335425302258,,,,
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.7,,,0.625,0.6106528279621969,0.6446164580260204,0.625
NPClassifier_pathway,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.7,,,0.6160714285714286,0.6153829807605404,0.6631308544521993,0.6160714285714285
NPClassifier_pathway,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.1,0.4538174919437226,0.5408619513162589,,,,
NPClassifier_pathway,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.1,,,0.8196428571428571,0.8198060265369213,0.8207269605876348,0.8196428571428572
NPClassifier_pathway,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.1,,,0.8160714285714286,0.8166579339882828,0.8187952259380832,0.8160714285714287
NPClassifier_pathway,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.3,0.33686228400479035,0.42961898345826566,,,,
NPClassifier_pathway,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.3,,,0.7607142857142857,0.759299233250534,0.7633986851491673,0.7607142857142858
