dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.1,0.15237006786293347,0.46181270359530213,,,,
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.1,,,0.6552863436123348,0.6587992039646319,0.679095200032334,0.654135419022479
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.1,,,0.6951541850220264,0.69843179699296,0.7207544923339013,0.6976951268798017
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.3,0.15633315641571877,0.4558112158244618,,,,
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.3,,,0.49427312775330395,0.4785074125692125,0.519012073656253,0.4699153380385734
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.3,,,0.5383259911894274,0.5373277493275145,0.5683627508000372,0.5349869515907754
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.5,0.14478091598821596,0.4356281504929457,,,,
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.5,,,0.3894273127753304,0.358190445819797,0.40422974692150193,0.3526738728416865
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.5,,,0.43083700440528633,0.3995786761420462,0.43172485726267595,0.39751728766949274
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.7,0.1141351304392929,0.39840813779128154,,,,
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.7,,,0.2997797356828194,0.2720608513248936,0.315138116923797,0.26750894137101583
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.7,,,0.336784140969163,0.310454936771741,0.3427251402925083,0.30972571210021355
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,KMeans,0.1,0.23246242145590587,0.5443578171418368,,,,
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,LR,0.1,,,0.6211453744493393,0.60700779204749,0.6373081118661915,0.5978671394855782
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,MLP,0.1,,,0.6323788546255507,0.6206629788344286,0.6461631507198218,0.6132905222475564
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,KMeans,0.3,0.1173779828505207,0.3877265671719062,,,,
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,LR,0.3,,,0.33612334801762117,0.295591446407488,0.3156924161837861,0.296294841014927
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,MLP,0.3,,,0.3299559471365639,0.29294167928572723,0.3179540920639132,0.29094895194632137
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,KMeans,0.5,0.04482692663511373,0.22156687948093426,,,,
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,LR,0.5,,,0.189647577092511,0.15999032003351246,0.16190184313441566,0.1620676948406771
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,MLP,0.5,,,0.18083700440528636,0.15595981606478024,0.16327823253643922,0.1567752111110717
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,KMeans,0.7,0.017379008794030978,0.13880616905706722,,,,
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,LR,0.7,,,0.12136563876651982,0.10061501546455427,0.10067274818213437,0.10309949387652935
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,noise,MLP,0.7,,,0.11343612334801761,0.09394963680008181,0.10927461336871364,0.09537327655793056
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.1,0.022858048390613332,0.16028049702291744,,,,
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,LR,0.1,,,0.13171806167400882,0.10205645102311325,0.09886076132387644,0.10902513560353137
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.1,,,0.1275330396475771,0.10600318368117227,0.1187882630913142,0.10826038717613258
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.3,0.00017540994030623415,0.08749562319099417,,,,
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,LR,0.3,,,0.03171806167400881,0.0249845079456324,0.024418105125511253,0.025999087777018433
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.3,,,0.03325991189427313,0.02724415392380445,0.027476490514535726,0.02799295434889821
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.5,0.00011882756389000441,0.08713399446935559,,,,
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,LR,0.5,,,0.022026431718061675,0.01884093511147752,0.024210040159690287,0.018734126984126985
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.5,,,0.02158590308370044,0.01672027976397729,0.01635860154209348,0.017549879445449064
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,KMeans,0.7,0.0002481851390482991,0.08266156121126227,,,,
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,LR,0.7,,,0.016519823788546256,0.014608972574017977,0.015655639133854638,0.014552382934743969
NPClassifier_superclass,sentence-transformers/all-mpnet-base-v2,noise,MLP,0.7,,,0.020044052863436124,0.01713369642753835,0.017592982218015564,0.017305239695000356
NPClassifier_superclass,gpt2,noise,KMeans,0.1,0.0366139899205017,0.2645867269314217,,,,
NPClassifier_superclass,gpt2,noise,LR,0.1,,,0.5348017621145374,0.5284795588951045,0.594080052658966,0.5202092230333696
NPClassifier_superclass,gpt2,noise,MLP,0.1,,,0.5797356828193833,0.5592510609024255,0.6032493097649398,0.552671247257891
NPClassifier_superclass,gpt2,noise,KMeans,0.3,0.036725293386336816,0.2672675492776729,,,,
NPClassifier_superclass,gpt2,noise,LR,0.3,,,0.3134361233480176,0.27899333004090393,0.329158012111726,0.28032892638536283
NPClassifier_superclass,gpt2,noise,MLP,0.3,,,0.35616740088105725,0.31346723689647044,0.33788219561597416,0.31843318792907127
NPClassifier_superclass,gpt2,noise,KMeans,0.5,0.034640785036996635,0.2587881625828243,,,,
NPClassifier_superclass,gpt2,noise,LR,0.5,,,0.20022026431718062,0.1715082048083631,0.19580944783671356,0.17323241424410646
NPClassifier_superclass,gpt2,noise,MLP,0.5,,,0.23061674008810573,0.2085184940272593,0.24128250185202238,0.20528282213807372
NPClassifier_superclass,gpt2,noise,KMeans,0.7,0.03498449927041046,0.2536118677236351,,,,
NPClassifier_superclass,gpt2,noise,LR,0.7,,,0.15528634361233482,0.13375732017151934,0.15101492499043656,0.1336894785408489
NPClassifier_superclass,gpt2,noise,MLP,0.7,,,0.1801762114537445,0.1572320490118527,0.16770477733554245,0.1597623940643016
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.1,0.030771852283283642,0.1931335209133204,,,,
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.1,,,0.16497797356828195,0.13307847856574026,0.1440887833643296,0.14086749290503214
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.1,,,0.1590308370044053,0.1283959870084244,0.13439364590848793,0.13512540133375855
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.3,0.0006562041122977803,0.0894650369027863,,,,
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.3,,,0.03171806167400881,0.025106215068525145,0.02570507020421348,0.026523513138793434
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.3,,,0.032158590308370046,0.0260816680102208,0.026383824070387703,0.02684283568405748
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.5,0.0001607186736645986,0.08443671893904316,,,,
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.5,,,0.026211453744493393,0.021078873456861977,0.02079831781098917,0.021752166289040253
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.5,,,0.025770925110132157,0.02051619740628333,0.020138593707982,0.021449183040404832
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,KMeans,0.7,0.00018596752434621886,0.08528345208614718,,,,
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,LR,0.7,,,0.02026431718061674,0.017805440140942312,0.018078106673071533,0.018017391498218006
NPClassifier_superclass,sentence-transformers/all-MiniLM-L6-v2,noise,MLP,0.7,,,0.017841409691629957,0.015252050349899848,0.01623947256614009,0.015281847521617346
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.1,0.1544919676589649,0.46105737195954566,,,,
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,LR,0.1,,,0.6667400881057268,0.6737685935771084,0.773878864149325,0.6685206641229038
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,MLP,0.1,,,0.6638766519823789,0.6407714992506078,0.6920639061279944,0.6359236496948439
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.3,0.14697383546304305,0.45513238135352946,,,,
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,LR,0.3,,,0.7251101321585903,0.7153276500686179,0.732123248900079,0.7122101479909824
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,MLP,0.3,,,0.6444933920704846,0.6186967629479072,0.667281598422834,0.605420745427848
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.5,0.14649765885339458,0.45099295184527993,,,,
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,LR,0.5,,,0.6845814977973568,0.6725479380991646,0.7109581689015023,0.6625361030683243
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,MLP,0.5,,,0.5874449339207048,0.5591626890575888,0.6018471219803376,0.5602458324144851
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.7,0.14306136513797607,0.44984651730217273,,,,
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,LR,0.7,,,0.6147577092511013,0.5831166058314183,0.6197201029774202,0.5746285026699599
NPClassifier_superclass,meta-llama/Meta-Llama-3-8B,noise,MLP,0.7,,,0.4885462555066079,0.45687778013996416,0.5569276229291511,0.45371984676563565
