dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.1,0.12638388405711803,0.40654787924059826,,,,
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.1,,,0.6187224669603524,0.6114448081937764,0.6359734245681109,0.6162040990785851
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.1,,,0.6297356828193833,0.6156114307599041,0.6412026890986096,0.6143656518109549
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.3,0.10015802554271921,0.37179515873081614,,,,
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.3,,,0.5002202643171806,0.45912497718761885,0.4936333416073522,0.471397558556444
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.3,,,0.4995594713656388,0.4684964260848038,0.4977596101669905,0.4736438607688174
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.5,0.09566338120364207,0.36464128910781524,,,,
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.5,,,0.40550660792951543,0.37723767831209554,0.42073147049680776,0.39745698311338884
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.5,,,0.4262114537444934,0.39537622187528865,0.4316589385930299,0.40240050979547
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.7,0.07521889480446257,0.33380099741791025,,,,
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.7,,,0.3118942731277533,0.25826727650399994,0.3286633435280224,0.2737953404697332
NPClassifier_superclass,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.7,,,0.3535242290748899,0.29765275489534426,0.33171564568206185,0.314254769637802
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.1,0.1960119957864497,0.5005634670207953,,,,
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.1,,,0.7048458149779736,0.694929112521778,0.7116293190495432,0.6909013980323436
NPClassifier_superclass,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.1,,,0.7273127753303965,0.7154907922051416,0.7361921850464855,0.7106932558084691
