dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.1,0.27307832996791276,0.4705141602314923,,,,
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,LR,0.1,,,0.7578864353312302,0.7672913373223168,0.7868967302200789,0.7683068885448917
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,MLP,0.1,,,0.7602523659305994,0.7644540582454038,0.7931766031072126,0.7633591331269349
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.3,0.2795642483054207,0.47596805202756703,,,,
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,LR,0.3,,,0.7720820189274448,0.7820650603260211,0.7999529045573943,0.7747929566563468
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,MLP,0.3,,,0.750788643533123,0.726805658694473,0.7614782991669089,0.7233210784313726
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.5,0.2707616365499203,0.4955395449637709,,,,
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,LR,0.5,,,0.7444794952681388,0.747197059196587,0.7826276005655135,0.7371974974200206
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,MLP,0.5,,,0.750788643533123,0.7102989420101401,0.7832265437367356,0.7097529669762642
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,KMeans,0.7,0.26221558811566115,0.4768821144021261,,,,
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,LR,0.7,,,0.7168769716088328,0.6608499358246263,0.7039760373561663,0.6606082301341589
refmet_embeddings,meta-llama/Meta-Llama-3-8B,noise,MLP,0.7,,,0.7129337539432177,0.6507765198690411,0.7009832847856491,0.655232843137255
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.1,0.23931980314451662,0.4274222846725722,,,,
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.1,,,0.7121451104100947,0.6830854274366953,0.7193783450442324,0.6727005933952528
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.1,,,0.7192429022082019,0.6865610978812,0.7069814327286997,0.676998839009288
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.3,0.2369911120470562,0.4280232379648437,,,,
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.3,,,0.6458990536277602,0.625050865523009,0.6888748423618651,0.6062874097007224
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.3,,,0.6569400630914827,0.6001702677102293,0.6093708106689226,0.6030005159958721
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.5,0.20848873465859036,0.40674423685004996,,,,
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.5,,,0.5899053627760252,0.5054513958708161,0.5219601230290263,0.505531475748194
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.5,,,0.5985804416403786,0.5203855005557988,0.5235320230965448,0.5269736842105264
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,KMeans,0.7,0.14754890207043475,0.345429811932864,,,,
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,LR,0.7,,,0.501577287066246,0.4588344570798367,0.5158464108418526,0.44780959752321986
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,noise,MLP,0.7,,,0.5063091482649842,0.4641688131808611,0.4716649677056341,0.4655263157894737
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,noise,KMeans,0.1,0.25417024179976583,0.4892748249450463,,,,
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,noise,LR,0.1,,,0.693217665615142,0.6865015007758823,0.7374031875048325,0.6647026573787409
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,noise,MLP,0.1,,,0.693217665615142,0.6784333629429586,0.7311959659807521,0.6549032507739938
