dataset,modelname,ablation,classifier,type,ari,nmi,accuracy,f1_macro,precision,recall
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.1,0.12683795583941154,0.3073690755861948,,,,
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.1,,,0.7318611987381703,0.7276057690195922,0.7737807591109928,0.71406346749226
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.1,,,0.7082018927444795,0.673129651228472,0.765980728661787,0.6458707430340557
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.3,0.1071499457783115,0.26654701009439835,,,,
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.3,,,0.6624605678233438,0.5833306855511976,0.6198327146793816,0.5820027089783283
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.3,,,0.6703470031545742,0.5970830122827226,0.6608620661065701,0.598266253869969
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.5,0.08824995068576055,0.2399266458218491,,,,
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.5,,,0.5678233438485805,0.5184962849695808,0.5842123287343703,0.5200683694530444
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.5,,,0.612776025236593,0.5493792707930709,0.6098774523722159,0.5387770897832816
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,KMeans,0.7,0.07355644100772042,0.21058501471788404,,,,
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,LR,0.7,,,0.5118296529968455,0.4708806666722771,0.516208321238264,0.46093201754385965
refmet_embeddings,meta-llama/Meta-Llama-3-8B,occlusion,MLP,0.7,,,0.5417981072555205,0.4581094550247786,0.462322362618946,0.4658223684210527
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.1,0.1849515662073568,0.3724877340039764,,,,
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.1,,,0.7113564668769716,0.6685042764703111,0.6977656961025003,0.6801057791537668
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.1,,,0.7089905362776026,0.6848599570588505,0.7325557439130866,0.6727837977296183
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.3,0.20109983820900562,0.3828137069224516,,,,
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.3,,,0.6072555205047319,0.5303246890246229,0.5449777953545163,0.5315615325077399
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.3,,,0.6269716088328076,0.5599917453703813,0.5852495320785416,0.5583952528379773
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.5,0.1469658489498734,0.32425460623779806,,,,
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.5,,,0.5615141955835962,0.4774822173847685,0.5389551319711581,0.4836235810113519
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.5,,,0.5733438485804416,0.5058161703372794,0.5143838148552746,0.5098535861713107
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,KMeans,0.7,0.13051450941124396,0.28576034373745485,,,,
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,LR,0.7,,,0.4881703470031546,0.4129090631848822,0.4400619924092,0.41917182662538693
refmet_embeddings,seyonec/ChemBERTa-zinc-base-v1,occlusion,MLP,0.7,,,0.4613564668769716,0.38887701641838934,0.41599604667265294,0.39455043859649125
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.1,0.24781234678539743,0.45511045467265704,,,,
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.1,,,0.7365930599369085,0.6999207962112299,0.711552629472269,0.695719169246646
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.1,,,0.7626182965299685,0.7179456379577107,0.7275607543474745,0.718890608875129
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.3,0.20886110372246705,0.39696654303455353,,,,
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.3,,,0.6356466876971609,0.5917057592757715,0.6231976997162082,0.5801689886480909
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.3,,,0.6585173501577287,0.5869976498084302,0.60752989569699,0.5880972652218783
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.5,0.1461203598249468,0.31877213029465656,,,,
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.5,,,0.5615141955835962,0.5149923673146286,0.5173087722988718,0.523500386996904
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.5,,,0.5457413249211357,0.5176624596916042,0.5299793810118364,0.5169265995872033
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,KMeans,0.7,0.09060555951228993,0.23938904284659582,,,,
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,LR,0.7,,,0.43217665615141954,0.3684101279630049,0.3815711573858297,0.37765608875129
refmet_embeddings,DeepChem/ChemBERTa-77M-MLM,occlusion,MLP,0.7,,,0.444006309148265,0.3902328835969807,0.3888524671559995,0.4006378998968009
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,occlusion,KMeans,0.1,0.2215212700025249,0.4193694621896321,,,,
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,occlusion,LR,0.1,,,0.6869085173501577,0.6855405392091607,0.713419823992395,0.6717124613003096
refmet_embeddings,sentence-transformers/all-mpnet-base-v2,occlusion,MLP,0.1,,,0.7176656151419558,0.6980185430806226,0.7228311826418876,0.6884578173374611
